validationSplit:0.2
correspondingWeights:/usr/stud/alleboud/vision/trainedweights/04-11PM_April-10-2017_kc_LSTM.h5
batchSize:100
Beta:500
meanOfMeansImage:False
startingweights:/usr/stud/alleboud/vision/trainedweights/weights/mergedweights.h5
total number of samples:1019
val_loss,loss
1860.04136867,1572.14994278
1855.21553129,1567.76689476
1835.79393993,1545.42329903
1856.12413773,1541.50633043
1851.12389119,1553.55277407
1842.43096984,1560.22083006
1841.10683426,1541.18737493
1815.52064155,1543.44223416
1818.8346049,1539.43310959
1877.88159688,1546.15190939
1851.54084359,1538.13300834
1833.87514152,1536.18682262
1853.21822282,1546.85121089
1839.04673498,1541.36701563
1843.13382437,1530.55903523
1856.42333506,1547.16049101
1840.81571571,1524.51050029
1825.05516262,1532.04609278
1818.16551448,1516.66313012
1837.11023817,1509.20328227
1854.6313686,1519.27717375
1831.27017721,1519.78514651
1822.67980778,1495.87418632
1849.89490943,1515.11955551
1833.42156354,1508.00039954
1805.33114115,1509.36324044
1791.81980956,1500.90923099
1831.11164647,1491.82167437
1798.16386384,1497.53455002
1835.08346378,1486.70704286
1827.39478736,1522.12527971
1801.38988899,1503.17303729
1805.05959724,1512.44701287
1808.60168038,1497.49502844
1825.34105847,1489.04519485
1785.87840361,1495.70258954
1784.17116502,1482.60724963
1803.41795319,1489.16261189
1804.43292416,1494.69658787
1796.75556856,1500.97266636
1816.824643,1482.4718261
1799.93673317,1472.70767081
1781.20025365,1468.09256262
1851.4589371,1476.91965003
1783.73083556,1489.56218696
1758.27561083,1473.73271207
1785.84264239,1467.90688956
1788.31644814,1479.1674683
1808.15589755,1469.92383075
1781.89809193,1466.21433076
1764.38185509,1473.15750253
1790.73319618,1463.44587268
1816.42563913,1459.30359149
1757.2648863,1448.44280557
1778.02891092,1460.84205187
1757.96093959,1450.33569598
1788.04894361,1453.04874125
1747.71900461,1455.13855617
1765.91870955,1457.60321869
1773.60290856,1458.97437347
1759.54885027,1457.66311065
1796.19888605,1447.79558615
1783.54240836,1456.92597559
1763.92140347,1448.3747289
1748.38168215,1453.09593416
1804.93681904,1443.11484607
1749.26038166,1435.15664766
1764.50527027,1448.38474765
1740.9013639,1434.39440993
1822.37699322,1453.30439843
1789.22013436,1438.78359218
1767.51694803,1442.17430742
1788.17837913,1446.52174349
1794.75198185,1439.75310006
1774.65351598,1438.21340999
1745.62911329,1452.56825603
1778.60452211,1436.5072791
1750.63079924,1438.07643923
1725.55407176,1433.0315754
1747.12913753,1428.85177481
1801.16046352,1443.69477329
1749.68677655,1432.35490708
1748.97940123,1430.36528268
1755.29809331,1435.17250782
1754.70859602,1426.49042722
1750.37110841,1430.90369663
1759.66133237,1428.1559789
1776.6186685,1423.69086817
1773.5477636,1433.96920421
1751.98694027,1418.88239724
1764.29865011,1416.32043981
1741.32089802,1425.94445052
1801.01218968,1413.09117492
1745.51709613,1431.28004802
1751.87758801,1422.60352948
1753.17626893,1410.87931777
1758.47654215,1417.34260044
1744.23993249,1407.47984024
1753.84182859,1411.76339104
1756.0234746,1408.18681663
1765.09587965,1416.04039479
1731.82155235,1398.45913004
1746.03468053,1389.04520009
1739.05321069,1389.60315016
1761.29010339,1396.7972311
1741.63028403,1387.20373273
1763.56232826,1412.06144836
1760.25696549,1415.64823829
1736.04071673,1410.43094378
1730.26624822,1407.25490285
1717.67197822,1390.95752065
1737.81858826,1392.78288541
1746.29146501,1393.26481282
1728.0657214,1390.69727424
1726.15438304,1392.32751016
1751.6717655,1388.5424273
1738.46586549,1382.86846437
1719.83375669,1396.89628835
1734.67209191,1384.0241542
1764.46744762,1411.54531523
1730.91420312,1409.62390773
1834.89941197,1416.58064354
1743.51101146,1414.53487055
1756.68081276,1420.33433711
1722.3105759,1398.85911083
1689.6980169,1380.78808425
1720.3682619,1374.85352723
1721.19334262,1374.04185402
1711.5532074,1374.38157981
1709.54766008,1376.97602329
1724.47582828,1381.43229142
1725.80454568,1369.81605595
1723.92936617,1373.97205414
1700.71992493,1367.59753455
1736.37189169,1377.00381526
1691.99336781,1377.19799992
1701.1460293,1370.27780545
1701.01145426,1357.49459408
1719.2114913,1373.77285373
1740.32509119,1368.80738465
1716.4967424,1364.55284858
1701.19957419,1367.55831872
1682.77911586,1369.40958746
1709.77338753,1360.51815665
1704.3251645,1355.54576963
1726.56034163,1355.97121125
1721.45672458,1365.79853868
1714.89968633,1362.42489006
1701.47075219,1375.41931939
1708.86968515,1365.45708798
1717.58237203,1366.28032773
1710.10511151,1354.43170353
1688.48073832,1357.19967745
1701.73227886,1348.49888321
1697.39691461,1353.19394763
1686.8857389,1347.68775949
1693.00548658,1351.92304777
1697.2498902,1364.83487669
1709.5642419,1356.29735954
1709.35586548,1359.03823291
1693.45929254,1350.77576095
1714.39022947,1346.59681636
1685.89201445,1354.2155743
1753.47551054,1359.12822213
1702.70658426,1362.5846434
1726.48155781,1345.38884524
1695.12024614,1338.23965098
1696.00911488,1342.25746988
1713.04815524,1332.15874814
1696.96892772,1329.81663279
1680.36740501,1331.49421027
1699.4356863,1330.29060373
1675.81366834,1331.91708617
1714.44910685,1332.08402669
1695.14907478,1337.79654811
1684.43109729,1335.83923827
1702.26915786,1335.42431266
1657.16281397,1325.96891232
1680.97131826,1335.60884291
1673.05564551,1318.56085168
1673.73216367,1328.00523142
1691.21462833,1325.24524413
1693.11938357,1327.46037508
1689.78233397,1344.42920633
1690.74682916,1324.52807917
1682.52463098,1317.4561395
1697.60997757,1315.89736583
1667.82001121,1308.57988978
1632.43520161,1325.11764358
1671.48595593,1298.01748676
1662.08615292,1307.8772583
1688.05033665,1313.06153486
1670.57672867,1320.54861563
1663.95401958,1313.61083348
1688.40405423,1309.72914919
1660.58224876,1314.56702035
1672.27081149,1314.34055146
1690.92971592,1311.56839457
1643.35941988,1311.66126462
1688.04028021,1306.88622223
1655.54417599,1300.88886734
1667.82970743,1306.56272224
1689.95908999,1307.19446325
1644.52039891,1301.24707499
1656.22052092,1302.55084116
1656.83026392,1301.261293
1653.68297801,1305.21573381
1700.60797059,1301.36261211
1630.42555327,1309.67147509
1690.65578895,1296.31280836
1670.2806935,1294.90129342
1674.99712387,1302.60216911
1652.55793164,1296.76421782
1643.88076304,1297.35362646
1698.67238692,1291.64593431
1655.14121112,1295.77702846
1670.22788134,1282.73942706
1622.67904783,1286.5806911
1651.63753734,1279.95348503
